"1","도시","city",\N,\N,\N,"place",\N
"2","이름","name","ㅁ",\N,\N,"abstract",\N
"3","저","I, me (formal)",\N,\N,\N,"person_pronoun",\N
"4","나","I, me (informal)",\N,\N,\N,"person_pronoun",\N
"5","남자","man",\N,\N,\N,"personal",\N
"6","여자","woman",\N,\N,\N,"personal",\N
"7","이","this",\N,\N,\N,\N,\N
"8","그","that",\N,\N,\N,\N,\N
"9","저","that (when something is far away)",\N,\N,\N,\N,\N
"10","것","thing","ㅅ",\N,\N,\N,\N
"11","이것","this (thing)","ㅅ",\N,\N,"obj_pronoun",\N
"12","그것","that (thing)","ㅅ",\N,\N,"obj_pronoun",\N
"13","저것","that (thing)","ㅅ",\N,\N,"obj_pronoun",\N
"14","의자","chair",\N,\N,\N,"object",\N
"15","탁자","table",\N,\N,\N,"object",\N
"16","선생님","teacher","ㅁ",\N,\N,"personal",\N
"17","침대","bed",\N,\N,\N,"object",\N
"18","집","house","ㅂ",\N,\N,"object",\N
"19","차","car",\N,\N,\N,"object",\N
"20","사람","person","ㅁ",\N,\N,"personal",\N
"21","책","book","ㄱ",\N,\N,"object",\N
"22","컴퓨터","computer",\N,\N,\N,"object",\N
"23","나무","tree/wood",\N,\N,\N,"object",\N
"24","소파","sofa",\N,\N,\N,"object",\N
"25","중국","China","ㄱ",\N,\N,"mass",\N
"26","일본","Japan","ㄴ",\N,\N,"mass",\N
"27","문","door","ㄴ",\N,\N,"object",\N
"28","의사","doctor",\N,\N,\N,"personal",\N
"29","학생","student","ㅇ",\N,\N,"personal",\N
"30","이다","to be",\N,\N,\N,\N,\N
"31","네","yes",\N,\N,\N,\N,\N
"32","아니","no",\N,\N,\N,\N,\N
"33","나라","country",\N,\N,\N,"mass",\N
"34","가방","bag/backpack","ㅇ",\N,\N,"object",\N
"35","창문","window","ㄴ",\N,\N,"object",\N
"36","잡지","magazine",\N,\N,\N,"object",\N
"37","방","room","ㅇ",\N,\N,"object",\N
"38","냉장고","refrigerator",\N,\N,\N,"object",\N
"39","개","dog",\N,\N,\N,"animal",\N
"40","강아지","puppy",\N,\N,\N,"animal",\N
"41","고양이","cat",\N,\N,\N,"animal",\N
"42","쥐","rat, mouse",\N,\N,\N,"animal",\N
"43","펜","pen","ㄴ",\N,\N,"object",\N
"44","전화기","phone",\N,\N,\N,"object",\N
"45","커피","coffee",\N,\N,\N,\N,\N
"46","식당","restaurant","ㅇ",\N,\N,"object",\N
"47","건물","building","ㄹ",\N,\N,"object",\N
"48","텔레비전","television","ㄴ",\N,\N,"object",\N
"49","미국","USA","ㄱ",\N,\N,"mass",\N
"50","캐나다","Canada",\N,\N,\N,"mass",\N
"51","호텔","hotel","ㄹ",\N,\N,"place",\N
"52","학교","school",\N,\N,\N,"place",\N
"53","은행","bank","ㅇ",\N,\N,"place",\N
"54","안","inside","ㄴ","1",\N,\N,"1"
"55","위","on top",\N,"1",\N,\N,"1"
"56","밑","below","ㅌ","1",\N,\N,"1"
"57","옆","beside","ㅍ","1",\N,\N,"1"
"58","뒤","behind",\N,"1",\N,\N,"1"
"59","앞","in front","ㅍ","1",\N,\N,"1"
"60","여기","here",\N,\N,\N,\N,\N
"61","있다","to be at a location",\N,\N,\N,\N,\N
"62","있다","to have something",\N,\N,\N,\N,\N
"80","음식","food","ㄱ",\N,\N,"object",\N
"81","케이크","cake","ㅡ",\N,\N,"object",\N
"82","공항","airport",\N,\N,\N,"place",\N
"83","병원","hospital","ㄴ",\N,\N,"place",\N
"84","공원","park","ㄴ",\N,\N,"place",\N
"85","한국어","Korean (language)",\N,\N,\N,\N,\N
"86","머리","head",\N,\N,\N,\N,\N
"87","다리","leg",\N,\N,\N,\N,\N
"88","손가락","finger","ㄱ",\N,\N,\N,\N
"89","귀","ear",\N,\N,\N,\N,\N
"90","팔","arm","ㄹ",\N,\N,\N,\N
"91","눈","eye","ㄴ",\N,\N,\N,\N
"92","입","mouth, lips","ㅂ",\N,\N,\N,\N
"93","배","stomach",\N,\N,\N,\N,\N
"94","버스","bus","ㅡ",\N,\N,\N,\N
"95","배","boat",\N,\N,\N,\N,\N
"96","우리","us/we",\N,\N,\N,\N,\N
"97","먹다","to eat",\N,\N,\N,\N,\N
"98","가다","to go",\N,\N,\N,\N,\N
"99","만나다","to meet",\N,\N,\N,\N,\N
"100","닫다","to close",\N,\N,\N,\N,\N
"101","열다","to open",\N,\N,\N,\N,\N
"102","원하다","to want (an object)",\N,\N,\N,\N,\N
"103","만들다","to make",\N,\N,\N,\N,\N
"104","하다","to do",\N,\N,\N,\N,\N
"105","말하다","to speak",\N,\N,\N,\N,\N
"106","이해하다","to understand",\N,\N,\N,\N,\N
"107","좋아하다","to like",\N,\N,\N,\N,\N
"108","크다","to be big",\N,\N,\N,\N,\N
"109","작다","to be small",\N,\N,\N,\N,\N
"110","새롭다","to be new",\N,\N,\N,\N,\N
"111","낡다","to be old (not age)",\N,\N,\N,\N,\N
"112","비싸다","to be expensive",\N,\N,\N,\N,\N
"113","싸다","to not be expensive, to be cheap",\N,\N,\N,\N,\N
"114","아름답다","to be beautiful",\N,\N,\N,\N,\N
"115","뚱뚱하다","to be fat, to be chubby",\N,\N,\N,\N,\N
"116","길다","to be long",\N,\N,\N,\N,\N
"117","좋다","to be good",\N,\N,\N,\N,\N
